_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,batterymv,status
"$$MULDER,432,20:20:19,52.08590,-1.96361,20863,6,1490,20*A7B2","G8KNN-1,G8DHE,HABJOE_BASE,DutchMillbt,M6GTG,2E0MXS,M0JCU,M0UPU,G3ZGZ,G4MYS,F5APQ,F1OIL,G6UIM,G0WXI,G4AIU,g0nzo,G7BTI,PB1DFT,2E0KPI,G8ZBJ,M6EDF,G6GZH",432,20:20:19,52.0859,-1.96361,20863,6,1490,20
"$$MULDER,433,20:20:39,52.08492,-1.96529,20958,5,1478,00*D6D9","G8KNN-1,G8DHE,HABJOE_BASE,DutchMillbt,M6GTG,2E0MXS,M0JCU,M0UPU,G3ZGZ,G4MYS,F5APQ,F1OIL,G6UIM,G0WXI,G4AIU,g0nzo,G7BTI,0x17,PB1DFT,2E0KPI,G8ZBJ,M6EDF,G8KNN,G6GZH",433,20:20:39,52.08492,-1.96529,20958,5,1478,0
"$$MULDER,434,20:20:59,52.08430,-1.96687,21052,6,1484,00*897F","G8KNN-1,G8DHE,HABJOE_BASE,DutchMillbt,M6GTG,2E0MXS,M0JCU,M0UPU,G3ZGZ,G4MYS,F5APQ,RevSpace,F1OIL,G0WXI,G4AIU,g0nzo,G7BTI,0x17,2E0KPI,G8ZBJ,M6EDF,G8KNN,G6GZH",434,20:20:59,52.0843,-1.96687,21052,6,1484,0
"$$MULDER,435,20:21:19,52.08358,-1.96867,21136,6,1498,00*43D5","G8KNN-1,G8DHE,HABJOE_BASE,DutchMillbt,M6GTG,2E0MXS,M0JCU,M0UPU,G3ZGZ,G4MYS,F5APQ,RevSpace,F1OIL,G6UIM,PE2G,G0WXI,G4AIU,g0nzo,G7BTI,0x17,PB1DFT,2E0KPI,G8ZBJ,M6EDF,G8KNN,G6GZH",435,20:21:19,52.08358,-1.96867,21136,6,1498,0
"$$MULDER,436,20:21:39,52.08345,-1.96901,21153,6,1502,00*79FF","G8KNN-1,G8DHE,HABJOE_BASE,DutchMillbt,M0JCU,2E0MXS,M6GTG,M0UPU,G3ZGZ,G4MYS,F5APQ,RevSpace,F1OIL,G6UIM,PE2G,G0WXI,G4AIU,g0nzo,G7BTI,0x17,PB1DFT,2E0KPI,G8ZBJ,M6EDF,G8KNN,G6GZH",436,20:21:39,52.08345,-1.96901,21153,6,1502,0
"$$MULDER,437,20:21:58,52.08264,-1.97148,21323,6,1504,20*0D37","G8KNN-1,SA6BSS,HABJOE_BASE,DutchMillbt,M6GTG,2E0MXS,M0JCU,M0UPU,G3ZGZ,G4MYS,F5APQ,RevSpace,F1OIL,G6UIM,PE2G,G0WXI,G4AIU,g0nzo,G7BTI,0x17,PB1DFT,2E0KPI,G8ZBJ,M6EDF,G6GZH",437,20:21:58,52.08264,-1.97148,21323,6,1504,20
"$$MULDER,438,20:22:18,52.08265,-1.97222,21423,6,1498,00*3BED","G8KNN-1,G8DHE,SA6BSS,HABJOE_BASE,M6GTG,2E0MXS,M0JCU,M0UPU,G3ZGZ,G4MYS,F5APQ,RevSpace,F1OIL,G6UIM,PE2G,G0WXI,G4AIU,g0nzo,G7BTI,0x17,PB1DFT,G8ZBJ,G8KNN,G6GZH",438,20:22:18,52.08265,-1.97222,21423,6,1498,0
"$$MULDER,439,20:22:38,52.08256,-1.97306,21515,6,1491,00*DA00","G8KNN-1,G8DHE,SA6BSS,HABJOE_BASE,DutchMillbt,M0JCU,2E0MXS,ULC_websdr,M6GTG,M0UPU,G3ZGZ,G4MYS,F5APQ,RevSpace,F1OIL,G6UIM,PE2G,G0WXI,G4AIU,g0nzo,G7BTI,0x17,PB1DFT,G8ZBJ,G8KNN",439,20:22:38,52.08256,-1.97306,21515,6,1491,0
"$$MULDER,440,20:22:58,52.08237,-1.97309,21603,5,1490,00*39BC","G8KNN-1,G8DHE,SA6BSS,HABJOE_BASE,DutchMillbt,M0JCU,2E0MXS,M6GTG,M0UPU,G3ZGZ,G4MYS,F5APQ,RevSpace,F1OIL,G6UIM,PE2G,G0WXI,G4AIU,g0nzo,G7BTI,0x17,PB1DFT,G8ZBJ,M6EDF,G8KNN,G6GZH",440,20:22:58,52.08237,-1.97309,21603,5,1490,0
"$$MULDER,441,20:23:02,52.08236,-1.97321,21619,6,1499,00*D566","G8KNN-1,G8DHE,SA6BSS,HABJOE_BASE,DutchMillbt,M6GTG,2E0MXS,ULC_websdr,M0JCU,M0UPU,G3ZGZ,G4MYS,F5APQ,RevSpace,G6UIM,PE2G,PB0NER,G0WXI,G4AIU,g0nzo,0x17,PB1DFT,G8ZBJ,M6EDF,G8KNN,G6GZH",441,20:23:02,52.08236,-1.97321,21619,6,1499,0
