_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,gps_lock,satellites,temperature_internal,temperature_external,battery
"$$VR2SC,139,12:46:55,52.24285,-0.14357,2158,3,9,21.3,5.7,4.9*EF0B",M6EVT,139,12:46:55,52.24285,-0.14357,2158,3,9,21.3,5.7,4.9
"$$VR2SC,140,12:47:09,52.24310,-0.14242,2240,3,10,22.3,4.7,4.9*6CE0",M6EVT,140,12:47:09,52.2431,-0.14242,2240,3,10,22.3,4.7,4.9
"$$VR2SC,144,12:48:05,52.24406,-0.13871,2626,3,8,21.3,2.7,4.9*9226",M6EVT,144,12:48:05,52.24406,-0.13871,2626,3,8,21.3,2.7,4.9
"$$VR2SC,145,12:48:19,52.24382,-0.13780,2718,3,9,20.3,1.8,4.9*88BE",M6EVT,145,12:48:19,52.24382,-0.1378,2718,3,9,20.3,1.8,4.9
"$$VR2SC,147,12:48:47,52.24398,-0.13678,2890,3,10,20.3,0.8,4.9*643C",G8FJG,147,12:48:47,52.24398,-0.13678,2890,3,10,20.3,0.8,4.9
"$$VR2SC,148,12:49:01,52.24347,-0.13612,2945,3,7,20.3,0.8,4.9*6C0C","G8FJG_2,M6EVT",148,12:49:01,52.24347,-0.13612,2945,3,7,20.3,0.8,4.9
"$$VR2SC,149,12:49:15,52.24320,-0.13554,3027,3,10,20.3,0.8,4.9*2C4E","G8FJG_2,M6EVT",149,12:49:15,52.2432,-0.13554,3027,3,10,20.3,0.8,4.9
"$$VR2SC,150,12:49:29,52.24305,-0.13418,3112,3,9,20.3,-0.2,4.9*1065","G8FJG_2,M6EVT",150,12:49:29,52.24305,-0.13418,3112,3,9,20.3,-0.2,4.9
"$$VR2SC,151,12:49:43,52.24287,-0.13273,3211,3,10,20.3,-0.2,4.9*1458","G8FJG_2,G8KNN,M6EVT",151,12:49:43,52.24287,-0.13273,3211,3,10,20.3,-0.2,4.9
"$$VR2SC,152,12:49:57,52.24314,-0.13151,3311,3,8,19.3,-1.2,4.9*C05F","G8FJG_2,G8KNN,M6EVT",152,12:49:57,52.24314,-0.13151,3311,3,8,19.3,-1.2,4.9
"$$VR2SC,153,12:50:11,52.24308,-0.13030,3407,3,10,20.3,-1.2,4.9*B163","G8KNN,M6EVT",153,12:50:11,52.24308,-0.1303,3407,3,10,20.3,-1.2,4.9
"$$VR2SC,154,12:50:25,52.24286,-0.12994,3500,3,8,19.3,-2.1,4.9*FA38","G8FJG_2,G8KNN,M6EVT",154,12:50:25,52.24286,-0.12994,3500,3,8,19.3,-2.1,4.9
"$$VR2SC,155,12:50:39,52.24268,-0.12842,3590,3,9,19.3,-2.1,4.9*3454","G8FJG_2,G8KNN,M6EVT",155,12:50:39,52.24268,-0.12842,3590,3,9,19.3,-2.1,4.9
"$$VR2SC,156,12:50:53,52.24257,-0.12761,3678,3,9,19.3,-3.1,4.9*85AB","G8FJG_2,G8KNN,M6EVT",156,12:50:53,52.24257,-0.12761,3678,3,9,19.3,-3.1,4.9
"$$VR2SC,157,12:51:07,52.24227,-0.12691,3767,3,9,19.3,-3.1,4.9*2905","G8FJG_2,G8KNN,M6EVT",157,12:51:07,52.24227,-0.12691,3767,3,9,19.3,-3.1,4.9
"$$VR2SC,158,12:51:21,52.24222,-0.12616,3865,3,10,18.4,-4.1,4.9*572B","G8FJG_2,G8KNN,M6EVT",158,12:51:21,52.24222,-0.12616,3865,3,10,18.4,-4.1,4.9
"$$VR2SC,159,12:51:35,52.24224,-0.12545,3972,3,10,18.4,-4.1,4.9*55D5","G8FJG_2,G8KNN,M6EVT",159,12:51:35,52.24224,-0.12545,3972,3,10,18.4,-4.1,4.9
