_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,battery
"$$X0,347,12:19:22,52.30929,0.00312,2923,8,4.71*3435","M0UPU,amell,G0WXI,G8KNN,G8KHW",347,12:19:22,52.30929,0.00312,2923,8,4.71
"$$X0,348,12:19:34,52.31114,0.00605,2984,8,4.71*10B5","amell,G0WXI,G8KNN,G8KHW,G8FJG_1",348,12:19:34,52.31114,0.00605,2984,8,4.71
"$$X0,349,12:19:46,52.31271,0.00839,3041,6,4.71*2D0C","amell,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI",349,12:19:46,52.31271,0.00839,3041,6,4.71
"$$X0,350,12:19:58,52.31452,0.01037,3094,8,4.71*560E","amell,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI",350,12:19:58,52.31452,0.01037,3094,8,4.71
"$$X0,351,12:20:10,52.31656,0.01309,3156,7,4.71*E0A6","amell,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI",351,12:20:10,52.31656,0.01309,3156,7,4.71
"$$X0,352,12:20:22,52.31836,0.01566,3219,8,4.71*1C52","amell,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI",352,12:20:22,52.31836,0.01566,3219,8,4.71
"$$X0,353,12:20:34,52.32003,0.01823,3282,8,4.71*7C9B","amell,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI",353,12:20:34,52.32003,0.01823,3282,8,4.71
"$$X0,354,12:20:46,52.32155,0.02129,3322,8,4.71*161E","amell,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI",354,12:20:46,52.32155,0.02129,3322,8,4.71
"$$X0,357,12:21:22,52.32590,0.02974,3499,8,4.71*2B8C","amell,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI",357,12:21:22,52.3259,0.02974,3499,8,4.71
"$$X0,355,12:20:58,52.32287,0.02434,3373,8,4.71*7569","amell,G0WXI,G8KNN,G8KHW,G8FJG_1",355,12:20:58,52.32287,0.02434,3373,8,4.71
"$$X0,356,12:21:10,52.32443,0.02704,3425,8,4.71*966C","amell,M0UPU,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI",356,12:21:10,52.32443,0.02704,3425,8,4.71
"$$X0,358,12:21:34,52.32779,0.03245,3551,8,4.71*D50F","amell,2E0KPI,G8KNN,G8KHW,G8FJG_1,G0WXI",358,12:21:34,52.32779,0.03245,3551,8,4.71
"$$X0,359,12:21:46,52.32950,0.03466,3613,8,4.71*A1BD","amell,2E0KPI,M0UPU,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI",359,12:21:46,52.3295,0.03466,3613,8,4.71
"$$X0,361,12:22:10,52.33270,0.03958,3700,6,4.70*1D54","amell,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI",361,12:22:10,52.3327,0.03958,3700,6,4.7
"$$X0,360,12:21:58,52.33129,0.03697,3655,8,4.71*DA5A","amell,2E0KPI,M0UPU,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",360,12:21:58,52.33129,0.03697,3655,8,4.71
"$$X0,362,12:22:22,52.33434,0.04212,3735,8,4.71*4D91","M0UPU,amell,2E0KPI,G8ZBJ,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",362,12:22:22,52.33434,0.04212,3735,8,4.71
"$$X0,363,12:22:34,52.33587,0.04432,3802,8,4.71*ACEF","M0UPU,amell,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",363,12:22:34,52.33587,0.04432,3802,8,4.71
"$$X0,364,12:22:46,52.33744,0.04674,3861,8,4.71*251E","amell,2E0KPI,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",364,12:22:46,52.33744,0.04674,3861,8,4.71
"$$X0,365,12:22:58,52.33875,0.04920,3924,8,4.71*C43D","amell,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",365,12:22:58,52.33875,0.0492,3924,8,4.71
"$$X0,366,12:23:10,52.34027,0.05180,3991,8,4.71*40AA","amell,2E0KPI,M0UPU,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",366,12:23:10,52.34027,0.0518,3991,8,4.71
"$$X0,367,12:23:22,52.34197,0.05418,4051,8,4.71*6C19","M0UPU,amell,2E0KPI,G8ZBJ,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",367,12:23:22,52.34197,0.05418,4051,8,4.71
"$$X0,368,12:23:34,52.34337,0.05682,4096,7,4.71*A414","M0UPU,amell,2E0KPI,G8ZBJ,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",368,12:23:34,52.34337,0.05682,4096,7,4.71
"$$X0,369,12:23:46,52.34498,0.05958,4145,8,4.71*ED28","amell,2E0KPI,G8ZBJ,G8KNN,G8KHW,G8FJG_1,G0WXI",369,12:23:46,52.34498,0.05958,4145,8,4.71
"$$X0,370,12:23:58,52.34636,0.06259,4188,8,4.70*36DA","M0UPU,amell,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",370,12:23:58,52.34636,0.06259,4188,8,4.7
